,kingdom,btk,phylum,btp,class,btc,order,bto,family,btf,genus,btg,abundance
Otu00723,Bacteria,100,Proteobacteria,100,Gammaproteobacteria,100,Diplorickettsiales,100,Diplorickettsiaceae,100,Diplorickettsia,53,442
Otu00725,Bacteria,100,Firmicutes,100,Clostridia,100,Clostridia_unclassified,100,Clostridia_unclassified,100,Clostridia_unclassified,100,441
Otu00726,Bacteria,100,Actinobacteriota,100,Actinobacteria,100,Streptomycetales,100,Streptomycetaceae,100,Streptomyces,56,441
Otu00727,Bacteria,100,Chloroflexi,100,Anaerolineae,100,Anaerolineales,100,Anaerolineaceae,100,Pelolinea,100,441
Otu00724,Bacteria,100,Actinobacteriota,100,Acidimicrobiia,100,Microtrichales,100,Microtrichaceae,100,uncultured,100,440
Otu00728,Bacteria,100,Chloroflexi,100,Anaerolineae,100,Anaerolineales,100,Anaerolineaceae,100,uncultured,100,440
Otu00729,Bacteria,100,Proteobacteria,100,Alphaproteobacteria,100,Holosporales,100,Holosporaceae,100,uncultured,100,440
Otu00730,Bacteria,100,Actinobacteriota,100,Acidimicrobiia,100,Microtrichales,100,Ilumatobacteraceae,100,Ilumatobacter,100,439
Otu00731,Bacteria,100,Bacteroidota,100,Bacteroidia,100,Flavobacteriales,100,Flavobacteriaceae,100,Aequorivita,100,438
Otu00732,Bacteria,100,Firmicutes,100,Bacilli,100,Brevibacillales,100,Brevibacillaceae,100,Brevibacillus,100,435
Otu00733,Bacteria,100,Proteobacteria,100,Gammaproteobacteria,100,Coxiellales,100,Coxiellaceae,100,Coxiella,100,433
Otu00734,Bacteria,100,Proteobacteria,100,Gammaproteobacteria,100,Coxiellales,100,Coxiellaceae,100,Coxiella,100,431
Otu00735,Bacteria,100,Planctomycetota,100,Planctomycetes,100,Pirellulales,100,Pirellulaceae,100,Rhodopirellula,99,431
Otu00736,Bacteria,100,Dependentiae,100,Babeliae,100,Babeliales,100,Vermiphilaceae,100,Vermiphilaceae_ge,100,431
Otu00737,Bacteria,100,Cyanobacteria,100,Cyanobacteriia,100,Leptolyngbyales,100,Leptolyngbyaceae,100,uncultured,100,429
